metabolism_mean,vision,Total Population,Gini Coefficient
3,7,3513,0.424875103120969
2,11,4347,0.25906347529129303
2,7,4213,0.2536231105498463
2,7,4314,0.25944011626122077
4,7,3205,0.46279150259350255
2,9,4197,0.2576013704185529
2,9,4115,0.2543859323142996
4,7,3175,0.49734165501581074
4,9,3179,0.47990809939034307
5,12,3000,0.46893809320054447
7,12,2631,0.41706556199494726
5,3,2972,0.4443042834025317
5,3,2997,0.5104966885569953
7,12,2664,0.3804789259743535
7,3,2649,0.3909328429929675
7,4,2658,0.3950501962665409
3,4,3563,0.43542977348099954
7,11,2683,0.35046846285441124
7,11,2704,0.3667112773794634
3,4,3597,0.43904954653449746
3,11,3594,0.39171383215192646
4,9,3179,0.4784296164686106
6,9,2849,0.448400915295853
4,6,3216,0.46976823254625866
4,6,3246,0.46162858674255425
6,9,2817,0.42192054772136856
6,6,2844,0.48731554953538536
4,3,3181,0.4941835755744135
7,3,2675,0.3558441633532796
4,5,3169,0.5155543639042619
4,5,3185,0.49393750951296034
7,3,2655,0.3992276377633066
7,5,2672,0.4847025211362934
7,8,2705,0.3687700516261494
4,8,3231,0.48237937297594913
7,10,2677,0.34467251009065847
7,10,2678,0.3635129034936333
4,8,3182,0.47429488139637743
4,10,3186,0.46564268739959314
6,5,2845,0.4250070916999742
5,5,2964,0.4733836807165943
6,2,2766,0.48830532707050933
6,2,2766,0.42290925156809656
5,5,2996,0.48427012166965966
5,2,2930,0.5380087474680781
3,11,3551,0.4030703105586324
2,11,4355,0.24103057972882902
3,7,3445,0.4155737387942944
3,7,3567,0.4114461172131394
2,11,4305,0.26285996126487854
2,7,4289,0.2803222496867015
