metabolism_mean,vision,Total Population,Gini Coefficient
7,11,2607,0.3508693195395358
7,11,2628,0.3382211669206656
3,4,3353,0.41207565468071383
3,11,3434,0.38812970031632754
4,9,3133,0.3761332666294972
6,9,2713,0.34330354176132505
4,6,3145,0.3775901848276426
4,6,3103,0.4098012198107497
6,9,2699,0.3341756362461723
6,6,2691,0.39883195965903595
2,7,3895,0.2679867786556416
4,7,3108,0.38644355866621094
2,9,4174,0.2404137764259875
2,9,4065,0.2473470065260217
4,7,3119,0.3776862556885421
4,9,3179,0.35828117142562643
5,12,2889,0.3381604894359602
7,12,2615,0.35879254061393473
5,3,2759,0.37390053092830033
5,3,2775,0.37262390177245
7,12,2627,0.3399532632980864
7,3,2506,0.3330392078554101
7,4,2544,0.43531995858082384
3,4,3337,0.4032350376427374
7,11,2592,0.3122818754631196
7,11,2615,0.3378092090245761
3,4,3387,0.3910898722979095
3,11,3437,0.38104890852394124
4,9,3121,0.36692087929465567
6,9,2730,0.3472761950903871
4,6,3088,0.3866041578611499
4,6,3162,0.3769784848376698
6,9,2683,0.31957702959481615
6,6,2689,0.3968434689633926
2,7,3992,0.2522349075497856
4,7,3087,0.37478228609123443
2,9,3993,0.24280578937451347
2,9,4026,0.23919883214406634
4,7,3125,0.3939100858800244
4,9,3146,0.3845892523673333
5,12,2901,0.3233771118303308
7,12,2592,0.32523417816298084
5,3,2777,0.3395292014590465
5,3,2744,0.3557037275725745
7,12,2599,0.30282062539156174
7,3,2510,0.2068381762996261
7,4,2500,0.0
3,4,3365,0.38824870997273386
7,11,2620,0.32470047360024057
7,11,2626,0.33506396269432726
3,4,3406,0.3722676415569177
3,11,3407,0.3915331440462704
4,9,3202,0.3566312902642601
6,9,2742,0.3296259564243007
4,6,3101,0.37974193427492553
4,6,3082,0.39600317869716917
6,9,2720,0.3115558923224768
6,6,2710,0.3429791595012799
2,7,4125,0.23502528589983762
4,7,3099,0.38593829266801594
2,9,4057,0.24606657556812417
2,9,4021,0.2505642832376309
4,7,3095,0.35616554954962654
4,9,3126,0.3809784477600462
5,12,2915,0.3319719240203496
7,12,2594,0.32348727249254705
5,3,2762,0.37501419205315223
5,3,2768,0.36254394468817197
7,12,2621,0.33190932616495417
7,3,2502,0.035368860231367316
7,4,2530,0.3612363563069214
3,4,3414,0.39218810266190274
7,11,2596,0.34395019170723073
7,11,2623,0.34075169519360204
3,4,3504,0.4062938350366174
3,11,3459,0.41123935429617053
4,9,3115,0.3704911486595064
6,9,2709,0.3262895476947383
4,6,3108,0.376295217773025
4,6,3105,0.38481483289431706
6,9,2715,0.3195743826618076
6,6,2660,0.3258607263197917
